[2025-03-29 17:08:10,281] INFO - Starting fold 1
[2025-03-29 17:08:10,281] INFO - Constructing hypergraph incidence matrix! (This may take several minutes...)
[2025-03-29 17:08:12,719] INFO - Constructing hypergraph incidence matrix! (This may take several minutes...)
[2025-03-29 17:08:13,865] INFO - Constructing hypergraph incidence matrix! (This may take several minutes...)
[2025-03-29 17:08:19,935] INFO - Fold 1 Epoch 160: Test Loss 0.5998, Test Acc 0.6000, Test F1 0.5881
[2025-03-29 17:08:20,089] INFO - Fold 1 Epoch 165: Train Loss 0.5783, Train Acc 0.6738, Train F1 0.6739
[2025-03-29 17:08:20,089] INFO - Fold 1 Epoch 165: Test Loss 0.5986, Test Acc 0.6000, Test F1 0.5881
[2025-03-29 17:08:20,248] INFO - Fold 1 Epoch 170: Train Loss 0.5843, Train Acc 0.6703, Train F1 0.6703
[2025-03-29 17:08:20,248] INFO - Fold 1 Epoch 170: Test Loss 0.6121, Test Acc 0.6000, Test F1 0.5881
[2025-03-29 17:08:20,404] INFO - Fold 1 Epoch 175: Train Loss 0.5784, Train Acc 0.7025, Train F1 0.6995
[2025-03-29 17:08:20,404] INFO - Fold 1 Epoch 175: Test Loss 0.6028, Test Acc 0.6571, Test F1 0.6549
[2025-03-29 17:08:20,544] INFO - Fold 1 Epoch 180: Train Loss 0.5853, Train Acc 0.6738, Train F1 0.6662
[2025-03-29 17:08:20,544] INFO - Fold 1 Epoch 180: Test Loss 0.6164, Test Acc 0.6571, Test F1 0.6571
[2025-03-29 17:08:20,721] INFO - Fold 1 Epoch 185: Train Loss 0.6043, Train Acc 0.6703, Train F1 0.6702
[2025-03-29 17:08:20,721] INFO - Fold 1 Epoch 185: Test Loss 0.6481, Test Acc 0.6143, Test F1 0.6007
[2025-03-29 17:08:20,885] INFO - Fold 1 Epoch 190: Train Loss 0.5811, Train Acc 0.6738, Train F1 0.6739
[2025-03-29 17:08:20,885] INFO - Fold 1 Epoch 190: Test Loss 0.5991, Test Acc 0.6000, Test F1 0.5881
[2025-03-29 17:08:21,031] INFO - Fold 1 Epoch 195: Train Loss 0.5737, Train Acc 0.6846, Train F1 0.6843
[2025-03-29 17:08:21,032] INFO - Fold 1 Epoch 195: Test Loss 0.5855, Test Acc 0.6286, Test F1 0.6239
[2025-03-29 17:08:21,181] INFO - Fold 1 Epoch 200: Train Loss 0.5835, Train Acc 0.6810, Train F1 0.6728
[2025-03-29 17:08:21,181] INFO - Fold 1 Epoch 200: Test Loss 0.6079, Test Acc 0.6857, Test F1 0.6860
[2025-03-29 17:08:21,329] INFO - Fold 1 Epoch 205: Train Loss 0.5724, Train Acc 0.7025, Train F1 0.6995
[2025-03-29 17:08:21,329] INFO - Fold 1 Epoch 205: Test Loss 0.5779, Test Acc 0.6571, Test F1 0.6549
[2025-03-29 17:08:21,478] INFO - Fold 1 Epoch 210: Train Loss 0.5755, Train Acc 0.6882, Train F1 0.6882
[2025-03-29 17:08:21,478] INFO - Fold 1 Epoch 210: Test Loss 0.5864, Test Acc 0.6000, Test F1 0.5919
[2025-03-29 17:08:21,628] INFO - Fold 1 Epoch 215: Train Loss 0.5717, Train Acc 0.6989, Train F1 0.6956
[2025-03-29 17:08:21,628] INFO - Fold 1 Epoch 215: Test Loss 0.5872, Test Acc 0.6571, Test F1 0.6549
[2025-03-29 17:08:21,779] INFO - Fold 1 Epoch 220: Train Loss 0.5696, Train Acc 0.6989, Train F1 0.6965
[2025-03-29 17:08:21,779] INFO - Fold 1 Epoch 220: Test Loss 0.5763, Test Acc 0.6429, Test F1 0.6395
[2025-03-29 17:08:21,933] INFO - Fold 1 Epoch 225: Train Loss 0.5710, Train Acc 0.6882, Train F1 0.6862
[2025-03-29 17:08:21,933] INFO - Fold 1 Epoch 225: Test Loss 0.5813, Test Acc 0.6429, Test F1 0.6395
[2025-03-29 17:08:22,079] INFO - Fold 1 Epoch 230: Train Loss 0.6018, Train Acc 0.6774, Train F1 0.6576
[2025-03-29 17:08:22,079] INFO - Fold 1 Epoch 230: Test Loss 0.6548, Test Acc 0.6571, Test F1 0.6433
[2025-03-29 17:08:22,231] INFO - Fold 1 Epoch 235: Train Loss 0.5672, Train Acc 0.6953, Train F1 0.6941
[2025-03-29 17:08:22,231] INFO - Fold 1 Epoch 235: Test Loss 0.5643, Test Acc 0.6286, Test F1 0.6239
[2025-03-29 17:08:22,404] INFO - Fold 1 Epoch 240: Train Loss 0.5987, Train Acc 0.6703, Train F1 0.6703
[2025-03-29 17:08:22,404] INFO - Fold 1 Epoch 240: Test Loss 0.6286, Test Acc 0.6143, Test F1 0.6007
[2025-03-29 17:08:22,568] INFO - Fold 1 Epoch 245: Train Loss 0.5717, Train Acc 0.6738, Train F1 0.6662
